universe,symbol,mode,trade_date,entry_date,buy,sl,tp,risk_R,rr,time_stop_bars,signal_date,signal_age_days,signal_close,max_allowed_open,invalid_reason
dax,ALV,EDGE,2026-01-14,2026-01-14,377.0,365.85,404.875,11.150000000000006,2.500000000000005,30,2026-01-09,5,382.3,387.875,
dax,DBK,EDGE,2026-01-14,2026-01-14,33.75,32.290009999999995,37.399975000000005,1.4599900000000023,2.499999999999995,30,2026-01-14,0,33.65,34.379995,
dax,DHL,EDGE,2026-01-14,2026-01-14,47.42,46.062000000000005,50.815,1.3579999999999977,2.5000000000000027,30,2026-01-14,0,47.48,48.159,
dax,G1A,EDGE,2026-01-14,2026-01-14,60.05,57.79,65.69999999999999,2.259999999999998,2.5000000000000018,30,2025-10-16,90,62.55,63.67999999999999,
dax,MBG,EDGE,2026-01-14,2026-01-14,59.46,57.082,65.405,2.378000000000001,2.500000000000003,30,2026-01-09,5,60.37,61.559,
dax,MBG,EDGE,2026-01-14,2026-01-14,59.46,57.015,65.5725,2.445000000000001,2.5000000000000013,30,2026-01-12,2,59.78,61.002500000000005,
dax,MBG,EDGE,2026-01-14,2026-01-14,59.46,56.965,65.6975,2.495000000000001,2.4999999999999942,30,2026-01-13,1,59.86,61.1075,
dax,MRK,EDGE,2026-01-14,2026-01-14,128.5,123.3551,141.36225,5.144899999999993,2.5000000000000013,30,2026-01-14,0,127.0,129.57245,
dax,PAH3,EDGE,2026-01-14,2026-01-14,37.96,36.659,41.212500000000006,1.3010000000000006,2.4999999999999947,30,2026-01-09,5,38.62,39.2705,
dax,PAH3,EDGE,2026-01-14,2026-01-14,37.96,36.653,41.227500000000006,1.3070000000000008,2.5,30,2026-01-12,2,38.26,38.9135,
dax,PAH3,EDGE,2026-01-14,2026-01-14,37.96,36.628,41.290000000000006,1.3320000000000007,2.4999999999999973,30,2026-01-13,1,38.06,38.726,
dax,PAH3,EDGE,2026-01-14,2026-01-14,37.96,36.627,41.2925,1.3330000000000006,2.5000000000000053,30,2026-01-14,0,38.36,39.0265,
dax,VOW3,EDGE,2026-01-14,2026-01-14,101.95,97.866,112.16,4.084000000000001,2.5,30,2026-01-12,2,102.5,104.542,
dax,VOW3,EDGE,2026-01-14,2026-01-14,101.95,97.741,112.4725,4.209000000000001,2.5,30,2026-01-13,1,102.1,104.2045,
mdax,DWS,EDGE,2026-01-14,2026-01-14,57.8,55.59,63.325,2.2100000000000017,2.5000000000000018,30,2026-01-09,5,58.0,59.105,
mdax,DWS,EDGE,2026-01-14,2026-01-14,57.8,55.505,63.5375,2.2950000000000017,2.5,30,2026-01-14,0,57.2,58.3475,
mdax,FNTN,EDGE,2026-01-14,2026-01-14,28.56,27.824,30.4,0.736,2.499999999999998,30,2026-01-09,5,29.4,29.768,
mdax,KGX,EDGE,2026-01-14,2026-01-14,64.75,61.61,72.6,3.139999999999998,2.499999999999998,30,2026-01-09,5,67.7,69.27,
mdax,KGX,EDGE,2026-01-14,2026-01-14,64.75,61.50000000000001,72.87499999999999,3.249999999999996,2.499999999999996,30,2026-01-12,2,65.6,67.225,
mdax,KGX,EDGE,2026-01-14,2026-01-14,64.75,61.37500000000001,73.18749999999999,3.3749999999999942,2.500000000000001,30,2026-01-13,1,64.6,66.2875,
mdax,KGX,EDGE,2026-01-14,2026-01-14,64.75,61.400000000000006,73.12499999999999,3.3499999999999943,2.5,30,2026-01-14,0,64.0,65.675,
mdax,LHA,EDGE,2026-01-14,2026-01-14,8.522,8.0896,9.603,0.4323999999999995,2.500000000000002,30,2026-01-09,5,8.87,9.0862,
mdax,LHA,EDGE,2026-01-14,2026-01-14,8.522,8.094000000000001,9.592,0.4279999999999993,2.500000000000002,30,2026-01-12,2,8.778,8.992,
mdax,LHA,EDGE,2026-01-14,2026-01-14,8.522,8.0944,9.591,0.4275999999999993,2.499999999999998,30,2026-01-13,1,8.702,8.915799999999999,
mdax,NDX1,EDGE,2026-01-14,2026-01-14,32.22,30.156,37.38,2.064000000000001,2.5000000000000018,30,2026-01-09,5,32.3,33.332,
mdax,NDX1,EDGE,2026-01-14,2026-01-14,32.22,30.186,37.305,2.0340000000000007,2.5000000000000018,30,2026-01-12,2,32.2,33.217000000000006,
mdax,SRT3,EDGE,2026-01-14,2026-01-14,259.9,246.9,292.4,12.999999999999996,2.5,30,2026-01-09,5,257.3,263.8,
sdax,1U1,EDGE,2026-01-14,2026-01-14,25.75,24.475,28.9375,1.2750000000000008,2.4999999999999987,30,2026-01-09,5,25.8,26.4375,
sdax,1U1,EDGE,2026-01-14,2026-01-14,25.75,24.43,29.050000000000004,1.320000000000001,2.5000000000000027,30,2026-01-14,0,25.6,26.26,
sdax,ADN1,EDGE,2026-01-14,2026-01-14,91.5,86.17,104.825,5.330000000000003,2.5000000000000013,30,2025-10-30,76,93.0,95.665,
sdax,CEC,EDGE,2026-01-14,2026-01-14,4.49,4.3425,4.858750000000001,0.1475000000000001,2.500000000000003,30,2026-01-14,0,4.43,4.50375,
sdax,DBAN,EDGE,2026-01-14,2026-01-14,25.7,24.905,27.6875,0.795000000000001,2.499999999999996,30,2026-01-14,0,25.7,26.0975,
sdax,INH,EDGE,2026-01-14,2026-01-14,30.45,29.39,33.1,1.0600000000000005,2.4999999999999933,30,2026-01-09,5,30.05,30.58,
sdax,JEN,EDGE,2026-01-14,2026-01-14,21.0,19.966,23.585,1.034,2.500000000000004,30,2026-01-13,1,21.04,21.557,
