symbol,trades,total_R,mean_R,median_R,win_rate,profit_factor,avg_hold,tp_rate,sl_rate,time_rate,expectancy_R,score
FNTN,43,18.773380861838703,0.43659025260090006,0.29223508114049274,0.627906976744186,2.4011155708670797,23.348837209302324,0.16279069767441862,0.27906976744186046,0.5581395348837209,0.43659025260090006,2.8629137417398836
BOSS,26,12.250202235688509,0.471161624449558,0.3687679571248549,0.5769230769230769,2.3392220127915118,22.26923076923077,0.15384615384615385,0.34615384615384615,0.5,0.471161624449558,2.4024623171243715
HOT,37,14.044180132149341,0.37957243600403623,0.1464165225120178,0.5675675675675675,1.9727691698236696,19.594594594594593,0.24324324324324326,0.35135135135135137,0.40540540540540543,0.37957243600403623,2.3088489912593704
LHA,27,10.120424268525554,0.3748305284639094,-0.0037115588547178683,0.48148148148148145,1.9670447661933421,21.962962962962962,0.14814814814814814,0.37037037037037035,0.48148148148148145,0.3748305284639094,1.94767655858215
SRT3,37,11.200589395953177,0.30271863232305884,-0.174311926605505,0.4594594594594595,1.7649964528838982,21.45945945945946,0.16216216216216217,0.32432432432432434,0.5135135135135135,0.30271863232305884,1.8413655539178257
AT1,21,7.852961498786389,0.3739505475612566,-0.5283018867924518,0.47619047619047616,1.7458906083076682,18.904761904761905,0.23809523809523808,0.47619047619047616,0.2857142857142857,0.3739505475612566,1.7136566903696424
KGX,29,8.156090824911406,0.2812445112038416,0.36631578947368465,0.5172413793103449,1.7157354172300203,21.0,0.13793103448275862,0.3448275862068966,0.5172413793103449,0.2812445112038416,1.5145480439346732
FRA,39,9.328435067469034,0.23919064275561625,-0.14298724954462658,0.46153846153846156,1.5991325496885358,22.94871794871795,0.1282051282051282,0.3333333333333333,0.5384615384615384,0.23919064275561625,1.4937450852444498
NEM,32,8.320533976901626,0.2600166867781758,0.0924085266984866,0.53125,1.7978977758597023,23.71875,0.125,0.28125,0.59375,0.2600166867781758,1.470876499540053
HLE,29,5.913325658415505,0.20390778132467258,-0.2153828453086356,0.4482758620689655,1.4322743345236646,17.862068965517242,0.20689655172413793,0.4482758620689655,0.3448275862068966,0.20390778132467258,1.0980770078905049
JUN3,42,6.489068395473574,0.15450162846365653,-0.06379890862649412,0.4523809523809524,1.3684087702079308,22.428571428571427,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.15450162846365653,1.0012849915547093
GXI,32,5.47821135545396,0.17119410485793626,-0.3418724767923152,0.40625,1.353842009693667,18.3125,0.1875,0.4375,0.375,0.17119410485793626,0.9684200995536609
NDA,34,4.366465985595452,0.12842547016457212,-0.05114545605788923,0.5,1.2848252236784992,21.264705882352942,0.058823529411764705,0.4117647058823529,0.5294117647058824,0.12842547016457212,0.7488427386025105
WCH,33,3.676058191140313,0.11139570276182767,-0.3781415503129524,0.45454545454545453,1.2326885979710573,20.484848484848484,0.06060606060606061,0.42424242424242425,0.5151515151515151,0.11139570276182767,0.6399195930704483
EVD,42,3.84886596232086,0.09163966576954428,-0.5357153763933423,0.42857142857142855,1.1819214847899862,18.166666666666668,0.14285714285714285,0.4523809523809524,0.40476190476190477,0.09163966576954428,0.5938929115411793
LXS,31,2.7097788492688055,0.08741222094415502,-0.18991060025542722,0.45161290322580644,1.1825023468923057,18.129032258064516,0.16129032258064516,0.45161290322580644,0.3870967741935484,0.08741222094415502,0.4866906486486903
FPE3,37,2.9116430803655304,0.07869305622609542,-0.11428571428571196,0.43243243243243246,1.1902932702227433,23.135135135135137,0.08108108108108109,0.35135135135135137,0.5675675675675675,0.07869305622609542,0.47867117380674423
LEG,28,0.857328597033912,0.030618878465496855,-1.0,0.39285714285714285,1.0530411841051315,17.428571428571427,0.17857142857142858,0.5714285714285714,0.25,0.030618878465496855,0.16201987568683132
AFX,35,0.8308989880723929,0.023739971087782655,-0.4255319148936171,0.45714285714285713,1.048316073781491,20.37142857142857,0.08571428571428572,0.45714285714285713,0.45714285714285713,0.023739971087782655,0.14044756300380037
TEG,39,0.39596140009624037,0.010152856412724112,-0.19966371429924745,0.46153846153846156,1.0217034247010222,18.974358974358974,0.10256410256410256,0.4358974358974359,0.46153846153846156,0.010152856412724112,0.06340456797548842
GBF,32,-1.067190288166497,-0.03334969650520303,-1.0,0.3125,0.9431136886199104,17.0625,0.125,0.5625,0.3125,-0.03334969650520303,-0.18865437239473895
TUI1,39,-2.4044068035993895,-0.06165145650254845,-0.5331341859331404,0.38461538461538464,0.8747952748418849,19.641025641025642,0.05128205128205128,0.4358974358974359,0.5128205128205128,-0.06165145650254845,-0.38501322245676095
TLX,41,-2.9096185152565464,-0.07096630525015966,-0.49455625206202525,0.34146341463414637,0.85846159200436,19.853658536585368,0.07317073170731707,0.43902439024390244,0.4878048780487805,-0.07096630525015966,-0.45440606918835535
SDF,26,-3.869213763440863,-0.14881591397849475,-1.0,0.4230769230769231,0.742052415770609,15.307692307692308,0.07692307692307693,0.5769230769230769,0.34615384615384615,-0.14881591397849475,-0.75881524930949
PUM,28,-4.247621251666937,-0.1517007589881049,-0.6150278692830065,0.39285714285714285,0.71212435330024,20.0,0.07142857142857142,0.4642857142857143,0.4642857142857143,-0.1517007589881049,-0.8027249639645441
SAX,34,-4.979113680811609,-0.14644452002387084,-1.0,0.3235294117647059,0.7522271518774302,18.705882352941178,0.058823529411764705,0.5588235294117647,0.38235294117647056,-0.14644452002387084,-0.8539109515229003
AIXA,26,-4.711231898048355,-0.18120122684801368,-0.5120970830771266,0.38461538461538464,0.6420549286620132,20.846153846153847,0.038461538461538464,0.46153846153846156,0.5,-0.18120122684801368,-0.9239485915849746
TKA,28,-8.148496993484436,-0.29101774976730127,-0.8760755463775598,0.35714285714285715,0.4715323670837352,17.464285714285715,0.03571428571428571,0.5,0.4642857142857143,-0.29101774976730127,-1.5399211859798088
RRTL,21,-7.521459711150293,-0.358164748150014,-1.0,0.23809523809523808,0.4306178376651711,18.904761904761905,0.047619047619047616,0.5714285714285714,0.38095238095238093,-0.358164748150014,-1.6413170696622337
DWNI,33,-10.487492710666624,-0.31780280941414013,-0.7351158091092791,0.3333333333333333,0.42309510138437645,20.575757575757574,0.0,0.48484848484848486,0.5151515151515151,-0.31780280941414013,-1.8256381479253136
BC8,38,-11.848203014646899,-0.3117948161749184,-1.0,0.3157894736842105,0.4562788508533285,19.81578947368421,0.05263157894736842,0.5263157894736842,0.42105263157894735,-0.3117948161749184,-1.9220323308818046
